"2 Chainz And Drake-","No Lie (Clean)"
"Sin Bandera","Sirena"
"Sin Bandera","Suelta Mi Mano"
"Sin Bandera","Suetta Mi Mano"
"Sin Bandera","Te Vi Venir"
"Sin Bandera","Te Vi Venir"
"Sin Bandera","Ves"
"Sin tu Amor","Napoleon"
"Sinatra, Frank","My Way"
"Sir Ivan","La La Land"
"Sir Ivan","La La Land (MPX)"
"Sixpence None The Richer","Safety Line"
"Sixpence None The Richer","Safety Line (MPX)"
"Skillrex feat. Sirah","Bangarang"
"Skillrex feat. Sirah","Bangarang (MPX)"
"Skillrex feat. Sirah","Kyoto"
"Skillrex feat. Sirah","Kyoto (MPX)"
"Sky, Nina & Daddy Yankee","Oye Mi Canto"
"Sleeper Agent","Get It Daddy"
"Sleeper Agent","Get It Daddy (MPX)"
"Snoop Dogg, Xzibit, And Nate D","Bitch Please II"
"Snow Patrol","This Isn't Everything You Are"
"Snow Patrol","This Isn't Everything You Are (MPX)"
"So Pra Contrariar","Cuando Acaba El Placer"
"Socios Del Ritmo","Llorar"
"Socios Del Ritmo, Los","A Punto De Caramelo"
"Socios Del Ritmo, Los","Vamos a platicar"
"Soda Stereo","Ciudad De La Furia"
"Soda Stereo","Ella Uso Mi Cabeza Como Un Rev"
"Soda Stereo","Persiana Americana"
"Solido","Dile la verdad"
"Solido","Frente A Frente"
"Solido","Hasta la cima del cielo"
"Solido","Hasta la cima del cielo"
"Solido","Hasta La Cima Del Cielo"
"Solido","Nada de ti"
"Solido","Tal vez"
"Solido, Oro","La Morena"
"Solis, Javier","Adelante"
"Solis, Javier","Besame Y Olvidame"
"Solis, Javier","Carabela"
"Solis, Javier","Con Mis Propias Manos"
"Solis, Javier","Cuando Escuches Este Vals"
"Solis, Javier","Cuatro Cirios"
"Solis, Javier","Despreciado Me Voy"
"Solis, Javier","El Camino De La Noche"
"Solis, Javier","El Loco"
"Solis, Javier","En Mi Viejo San Juan"
"Solis, Javier","En Mi Viejo San Juan"
"Solis, Javier","Entrega Total"
"Solis, Javier","Entrega Total"
"Solis, Javier","Esclavo Y Amo"
"Solis, Javier","Esclavo Y Amo"
"Solis, Javier","Esta Tristeza Mia"
"Solis, Javier","Gracias"
"Solis, Javier","Jamas, Jamas"
"Solis, Javier","Julia"
"Solis, Javier","Lagrimas De Amor"
"Solis, Javier","Las Rejas No Matan"
"Solis, Javier","Lloraras, Lloraras"
"Solis, Javier","Media Vuelta"
"Solis, Javier","Mentira, Mentira"
"Solis, Javier","Payaso"
"Solis, Javier","Renunciación"
"Solis, Javier","Renunciacion"
"Solis, Javier","Sombras"
"Solis, Javier","Sombras"
"Solis, Javier","Tu Voz"
"Solis, Javier","Y"
"Solis, Marco A.","Amor En Silencio"
"Solis, Marco A.","Antes De Que Te Vayas"
"Solis, Marco A.","Antes De Que Te Vayas (c-coros)"
"Solis, Marco A.","Boca De Angel"
"Solis, Marco A.","Cuando Te Acuerdes De Mi"
"Solis, Marco A.","Donde Estara Mi Primavera"
"Solis, Marco A.","El Peor De Mis Fracasos"
"Solis, Marco A.","En El Mismo Tren"
"Solis, Marco A.","Inventame"
"Solis, Marco A.","La Ultima Parte"
"Solis, Marco A.","La Venia Bendita"
"Solis, Marco A.","Me Volvi A Acordar De Ti"
"Solis, Marco A.","Mi Eterno Amor Secreto"
"Solis, Marco A.","Mi Mayor Sacrificio"
"Solis, Marco A.","Mi Mayor Sacrificio"
"Solis, Marco A.","Recuerdos, Tristeza Y Soledad"
"Solis, Marco A.","Se Que Me Va A Dejar"
"Solis, Marco A.","Siempre Tu A Mi Lado"
"Solis, Marco A.","Sigue Sin Mi"
"Solis, Marco A.","Te Amo Mama"
"Solis, Marco A.","Tu Hombre Perfecto"
"Solis, Marco A.","Y Yo Sin Ti"
"Solis, Marco Antonio","Mas que tu amigo"
"Solis, Marco Antonio","Mas Que Tu Amigo"
"Solis, Marco Antonio","Mi Mayor Necesidad"
"Solis, Marco Antonio","O me Voy o te Vas"
"Solis, Marco Antonio","Si no te Hubieras Ido"
"Solis, Marco Antonio","Si Te Pudiera Mentir"
"Solitarios","Nada De Tu Amor"
"Solitarios, Los","Mi Amor Es Para Ti"
"Solitarios, Los","Sufrir"
"Son By Four","A Puro Dolor"
"Son By Four","Puro Dolor, A"
"Son De Cali","Como Le Digo"
"Sonido Master","Falsa Traicion"
"Sonido Mazter","El Ultimo Beso"
"Sonora De Margarita","Que Nadie Sepa Mi Sufrir"
"Sonora De Margarita, La","Escandalo"
"Sonora De Margarita, La","Si vos te vas"
"Sonora Dinamita","A Mover El Cuerpo"
"Sonora Dinamita","Capullo Y Sorullo"
"Sonora Dinamita","El Viejo Del Sombrerón"
"Sonora Dinamita","Las Cosquillitas"
"Sonora Dinamita","Tu Cucu"
"Sonora Dinamita, La","El africano"
"Sonora Dinamita, La","El Negro Jose"
"Sonora Dinamita, La","El Viejo Del Sombreron"
"Sonora Dinamita, La","La cadenita"
"Sonora Dinamita, La","Maruja"
"Sonora Dinamita, La","Mil horas"
"Sonora Dinamita, La","Oye"
"Sonora Santanera, La","El Bodeguero"
"Sonora Santanera, La","El Ladron"
"Sonora Santanera, La","El nido"
"Sonora Tropicana","Ese Chico Es Mío"
"Sonora Tropicana","Pobre Gorrión"
"Sonora Tropicana","Que Bello"
"Sonora Tropicana","Que Bello - Sonora"
"Sonora Tropicana","Quién Como Tú"
"Sonora Tropicana, La","El gran varon"
"Sonora Tropicana, La","El hombre que yo amo"
"Sosa, Mercedes","Alfonsina Y El Mar"
"Spears, Britney","Oops! I Did It Again"
"Spears, Britney","Toxic"
"Spears, Britney & Madonna","Me Against The Music"
"Stardust","Music Sounds Better With You"
"Stars","Hold On When You Get Love And Let Go When You Give It"
"Stars","Hold On When You Get Love And Let Go When You Give It (MPX)"
"Stefani, Gwen","Hollaback Girl"
"Stefano","Yes To Love"
"Stefano","Yes To Love (MPX)"
"Stephanie Smith","Letting Go"
"Stephanie Smith","Letting Go (MPX)"
"Strwck, Los","Quien"
"Sube Que Baja","El Circulo"
"Sublime","Smoke Two Joints"
"Super Pegue","Te Necesito"
"Super Reyes","Muevelo"
"Super Reyes, Los","Serenata"
"Swedish House Mafia feat. John Martin","Dont You Worry Child"
"Swedish House Mafia feat. John Martin","Dont You Worry Child (MPX)"
"Syntek, Aleks","A Veces Fui"
"Syntek, Aleks","Intocable"
"Syntek, Aleks","Lo Que Tu Necesitas"
"Syntek, Aleks","Sexo, Pudor Y Lagrimas"
"Syntek, Aleks Y Ana Torroja","Duele El Amor"
"T Pain feat. Chris Brown","Look At Her Go"
"T Pain feat. Chris Brown","Look At Her Go (MPX)"
"T- Pain","Sho-Time (Pleasure Thing)"
"T- Pain","Sho-Time (Pleasure Thing) (MPX)"
"T-Pain","Drowning Again"
"T-Pain","Drowning Again (MPX)"
"T-Pain","When I Come Home"
"T-Pain","When I Come Home (MPX)"
"Talib Kweli feat. Ryan Leslie","Outstanding"
"Talib Kweli feat. Ryan Leslie","Outstanding (MPX)"
"Tamela Mann","Take Me To The King"
"Tamela Mann","Take Me To The King (MPX)"
"Tanon, Olga","Mi Eterno Amor Secreto"
"Tanon, Olga","Tu Amor"
"Taproot","No Surrender"
"Taproot","No Surrender (MPX)"
"Tasha Cobbs","Break Every Chain"
"Tasha Cobbs","Break Every Chain (MPX)"
"Tatiana","Pajaritos A Volar"
"Tatiana","Pimpon"
"Tatiana","Pollito Chicken"
"Tatiana","Wisty Arana"
"Tears For Fears","Everbody Wants To Rule"
"Teen Tops, Los","Confidente De Secundaria"
"Tejano Boyís","Hasta el dÌa de hoy"
"Temerarios","Tu infame engaño"
"Temerarios, Los","Si Quiero Volver"
"Temerarios, Los","Ven Porque Te necesito"
"Temerarios, Los","Ven Porque Te necesito_tonoBajo"
"Terrazas, Beto & Natalia Jimenez","El Sol No Regresa"
"Terricolas","Hoy Le Confieso"
"Terricolas","Hoy Le Confieso (Con Coros)"
"Terricolas","La Carta (con coros)"
"Terricolas","La Carta (con coros)"
"Terricolas","Luto En El Alma (con coros)"
"Terricolas","Luto En El Alma (con coros)"
"Terricolas","Te Juro Que Te Amo (con coros)"
"Terricolas","Te Juro Que Te Amo (con coros)"
"Terricolas, Los","Cenizas"
"Terricolas, Los","Cuesta Abajo"
"Terricolas, Los","Deja de llorar chiquilla"
"Terricolas, Los","Deja de llorar chiquilla [Con coro]"
"Terricolas, Los","Donde Vamos"
"Terricolas, Los","Dos Almas"
"Terricolas, Los","Dos Cosas"
"Terricolas, Los","El Plebeyo"
"Terricolas, Los","Lloraras"
"Terricolas, Los","Luto En El Alma"
"Terricolas, Los","Nostalgia"
"Terricolas, Los","Nuestra Historia"
"Terricolas, Los","Que Importa"
"Terricolas, Los","Viviras"
"Thalia","A Quien Le Importa"
"Thalia","Amar Sin Ser Amada"
"Thalia","Amor A La Mexicana"
"Thalia","Arrasando"
"Thalia","Cerca De Ti"
"Thalia","Cerca De Ti"
"Thalia","Equivocada"
"Thalia","Gracias a Dios"
"Thalia","Menta Y Canela"
"Thalia","Menta Y Canela"
"Thalía","Mujer Latina"
"Thalia","No me enseñaste"
"Thalia","No Me Ensenaste"
"Thalía","No Me Enseñaste"
"Thalia","Noches Sin Luna"
"Thalia","Piel Morena"
"Thalia","Ponle Remedio"
"Thalia","Por Amor"
"Thalia","Seduccion"
"Thalía","Tú Y Yo"
"Thalia","Un Alma Sentenciada"
"Thalia & Aventura","No, No, No"
"Thalia & Pedro Capo","Estoy Enamorada"
"Thalia & Pedro Capo","Estoy Enamorada"
"Tiempo, El","En Tu Pelo"
"Tierra Tejana Band","Las hijas de Don Sim¢n"
"Tigres Del Norte","Agua Salada"
"Tigres Del Norte","Cuestion Olvidada"
"Tigres Del Norte","El Ejemplo"
"Tigres Del Norte","El Maestro"
"Tigres Del Norte","El Triunfo"
"Tigres Del Norte","En Que Falle"
"Tigres Del Norte","Golpes En El Corazon"
"Tigres Del Norte","Hoy No Es Mi Dia"
"Tigres Del Norte","La Dieta"
"Tigres Del Norte","La Mesa Del Rincon"
"Tigres Del Norte","La Puerta Negra"
"Tigres Del Norte","Mi Buena Suerte"
"Tigres Del Norte","Mi Sangre Prisionera"
"Tigres Del Norte","Ni Parientes Somos"
"Tigres Del Norte","Nos Estorbo La Ropa"
"Tigres Del Norte","Pedro Y Pablo"
"Tigres Del Norte","Ya Te Vele"
"Tigres Del Norte, Los","A mi enemigo"
"Tigres Del Norte, Los","Alla nos juntamos"
"Tigres Del Norte, Los","America"
"Tigres Del Norte, Los","Amigos y mujeres"
"Tigres Del Norte, Los","Camisa mojada"
"Tigres Del Norte, Los","Contrabando y robo"
"Tigres Del Norte, Los","Corazon de oro"
"Tigres Del Norte, Los","Creiste"
"Tigres Del Norte, Los","De Paisano A Paisano"
"Tigres Del Norte, Los","El Contagio"
"Tigres Del Norte, Los","El Nino Y La Boda"
"Tigres Del Norte, Los","El Otro Mexico"
"Tigres Del Norte, Los","Ingratitud"
"Tigres Del Norte, Los","La Jaula De Oro"
"Tigres Del Norte, Los","La Liebre"
"Tigres Del Norte, Los","La manzanita"
"Tigres Del Norte, Los","La muerte de un soplon"
"Tigres Del Norte, Los","La Tumba Falsa"
"Tigres Del Norte, Los","Lagrimas Del Corazon"
"Tigres Del Norte, Los","Me Declaro Culpable"
"Tigres Del Norte, Los","Mi fantasia"
"Tigres Del Norte, Los","Senor locutor"
"Tigres Del Norte, Los","Si No Me Falla El Corazon"
"Tigres Del Norte, Los","Socios"
"Tigres Del Norte, Los","Un dia a la ves"
"Tigres Del Norte, Los","Ven"
"Tigres Del Norte, Los","Ya encontraron a Camelia"
"Tigrillo Palma, El","Dos Botellas De Mezcal"
"Tigrillo Palma, El","El Bazucaso"
"Tigrillo Palma, El","El Cajoncito"
"Tigrillo Palma, El","El Carro Blanco"
"Tigrillo Palma, El","El Corrido Del 24"
"Tigrillo Palma, El","El Frijolito"
"Tigrillo Palma, El","El Guero Pesado"
"Tigrillo Palma, El","El Melon"
"Tigrillo Palma, El","La Pastilla"
"Tigrillo Palma, El","La Sandia"
"Tigrillo Palma, El","La Silverado Y La Charger"
"Tigrillo Palma, El","La Trenzuda"
"Tigrillo Palma, El","Pachangon En El Desierto"
"Tigrillos","La Gringa"
"Timbiriche","Hoy Tango Que Decirte Papa"
"Timbiriche","Vuelve a la escuela"
"Tiranos del Norte","Arrepientete"
"Tiranos del Norte","De la tierra al cielo"
"Tiranos del Norte","Hasta la miel amarga"
"Titanes De Durango","El Prostipirugolfo"
"Titanes De Durango","El Prostipirugolfo"
"Titanes de Durango","Hoy es mi cumplea/os"
"Tito El Bambino","Dejala Volar"
"Tito El Bambino","El amor"
"Tito El Bambino","Llueve el amor"
"Tito El Bambino","Llueve el amor"
"Tito El Bambino","Te pido perdon"
"Tity Boi aka 2 Chainz","Spend It"
"Tity Boi aka 2 Chainz","Spend It (MPX)"
"Tiziano Ferro","Tardes Negras"
"Tiziano Ferro","Tardes Negras (Italiano)"
"Tiziano Ferro","Tardes Negras (Tono Para Mujer)"
"Tiziano Ferro","Te Tomare Una Foto"
"Toby Love","Lejos"
"tobyMac","Me Without You"
"tobyMac","Me Without You (MPX)"
"Tommy Torres y Jesse & Joy","Imparable"
"Tonny Tun Tun","Cuando La Brisa Llega"
"Tony de La Rosa","Mi vida de borracho"
"Tony De La Rosa","Sigue Siendo La Misma"
"Topo Gigio","El Besito De Las Buenas Noches"
"Toppaz","Celoso"
"Toppaz","Etapas De Mi Vida"
"Toppaz","La Muchacha Fea"
"Toppaz","Muchacho pobre"
"Tormenta","Solo tu"
"Toros Band","Quizas Si Quizas No"
"Toros Band, Los","Olvidarme De Ella (bachata)"
"Torres, Alvaro Y Marisela","Mi Amor Por Ti"
"Torres, Diego","Andando"
"Torres, Diego","Colo Rsperanza"
"Torres, Diego","Colo Rsperanza (Tono +1)"
"Torres, Diego Y Julieta Venegas","Suenos"
"Torres, Manoella","A La Que Vive Contigo"
"Torres, Manoella","El Gorrion Y Yo"
"Torres, Manoella","El Gorrion Y Yo (Con Segunda Voz)"
"Torres, Manoella","Te Voy A Ensenar A Querer"
"Tovar, Rigo","Besando La Cruz"
"Tovar, Rigo","Carita De Angel"
"Tovar, Rigo","Carta De Recuerdo"
"Tovar, Rigo","Como Sera La Mujer"
"Tovar, Rigo","Cuando Tu Carino"
"Tovar, Rigo","El Testamento"
"Tovar, Rigo","Lamento De Amor"
"Tovar, Rigo","No Que No"
"Tovar, Rigo","Oh Que Gusto De Volverte A Ver"
"Tovar, Rigo","Quitate La Mascara"
"Tovar, Rigo","Recordando Monterrey"
"Tovar, Rigo","Reflexiona"
"Tradicion Del Norte, La","Corazon"
"Traileros del Norte","Abeja reina"
"Traileros Del Norte","Abeja Reina"
"Traileros Del Norte","Anoche Estuve Llorand"
"Traileros del Norte","Apartamento tres"
"Traileros Del Norte","Apartamento Tres"
"Traileros del Norte","Arrastrando la cobija"
"Traileros Del Norte","Arrastrando La Cobija"
"Traileros Del Norte","Confesion"
"Traileros Del Norte","El Chicle"
"Traileros Del Norte","El Chicle"
"Traileros Del Norte","Esperando Tu Regreso"
"Traileros del Norte","Me mocho un dedo"
"Traileros Del Norte","Ni Tu Amigo Ni Tu Amante"
"Traileros del Norte","Ni tu amigo, ni tu amante"
"Traileros Del Norte","Noble Engano"
"Traileros Del Norte","Rosas Blancas"
"Traileros Del Norte, Los","Abeja reina"
"Traileros Del Norte, Los","Arrastrando la cobija"
"Traileros Del Norte, Los","Cuando Arrastre Mi Orgullo"
"Traileros Del Norte, Los","Cuanto Te Debo"
"Traileros Del Norte, Los","El beso de Judas"
"Traileros Del Norte, Los","Esperando tu regreso"
"Traileros Del Norte, Los","Juguete preferido"
"Traileros Del Norte, Los","Las edades"
"Traileros Del Norte, Los","Mary Lee"
"Traileros Del Norte, Los","Me va y me viene"
"Traileros Del Norte, Los","No hay problema"
"Traileros del Norte, Los","Que me olvides"
"Traileros del Norte, Los","Que me olvides"
"Traileros Del Norte, Los","Quisiera ser una lagrima"
"Traileros Del Norte, Los","Se burlaron mis amigos"
"Traileros Del Norte, Los","Somos ajenos"
"Traileros Del Norte, Los","Tatuaje"
"Traileros Del Norte, Los","Ven"
"Trakalosa de Monterrey","San lunes"
"Tranzas","Un Nuevo Amor"
"Trebol Clan & Luny Tunes","Gata Fiera"
"Tres Ases, Los","Chacha Linda"
"Tres Ases, Los","Irresistible"
"Tres Ases, Los","Obsesion"
"Tres Ases, Los","Sabor A Mi"
"Tres Ases, Los","Tu Me Acostumbraste"
"Tres Caballeros, Los","El Reloj"
"Tres De Copas","Amor Mio"
"Tres De Copas","Amor Mio-t, Mujer"
"Tres de Copas","Se me muere la vida"
"Tres De Copas","Se Me Muere La Vida"
"Tres Diamantes","Condicion"
"Tres Diamantes","Mienteme"
"Tres Diamantes, Los","La Gloria Eres Tu"
"Tres Diamantes, Los","Usted"
"Tres Reyes, Los","Poquita Fe"
"Trevi, Gloria","Cinco Minutos"
"Trevi, Gloria","En Medio De La Tempestad"
"Trevi, Gloria","En Medio De La Tempestad"
"Trevi, Gloria","Estrella De La Manana"
"Trevi, Gloria","Psicofonia"
"Trevi, Gloria","Todos Me Miran"
"Trevi, Gloria & Beatriz Adriana","No Soy Monedita De Oro"
"Tri, El","A.d.o"
"Tri, El","Chavo De Onda"
"Tri, El","Chilango Incomprendido"
"Tri, El","Cuando Canta El Grillo"
"Tri, El","Cuando Tu No Estas"
"Tri, El","Dificil"
"Tri, El","El Nino Sin Amor"
"Tri, El","Hoyos En La Bolsa"
"Tri, El","La Raza Mas Chida"
"Tri, El","Lagrimas En La Lluvia"
"Tri, El","Las Piedras Rodantes"
"Tri, El","Mente Rockera"
"Tri, El","Metro Balderas"
"Tri, El","Nostalgia"
"Tri, El","Oye, Cantinero"
"Tri, El","Parece Facil"
"Tri, El","Pastillas De Rocanrol"
"Tri, El","Pobre Sonador"
"Tri, El","Renuncio"
"Tri, El","San Juanico"
"Tri, El","Solamente Dios"
"Tri, El","Todo Me Sale Mal"
"Tri, El","Triste Cancion"
"Tri, El","Triste Cancion (ver. Larga)"
"Tri, El","Virgen Morena"
"Trio Los Santos","Pagina Blanca"
"Trio Monterrey","Eternamente"
"Trio Monterrey","Ojos Cafes"
"Trono de Mexico","Crei"
"Trono de Mexico","Crei"
"Tropa Loca","Un Sueno"
"Tropa Vallenata, La","Los Caminos De La Vida"
"Tropa Vallenata, La","Los Caminos De La Vida (-1)"
"Tropa Vallenata, La","Mi Razon De Ser"
"Tropa Vallenata, La","Mi Razon De Ser (-1)"
"Tropical Panama","El carita"
"Trotamundos","Aun"
"Trotamundos","Aun"
"Tucanes De Tijuana, Los","Sin Ti Soy Un Loco"
"Tucanes, Los","Amor Descarado"
"Tucanes, Los","El Heredero"
"Tucanes, Los","El Tucanazo"
"Tucanes, Los","Fiesta En La Sierra"
"Tucanes, Los","Jugo A La Vida"
"Tucanes, Los","La Chica Sexy"
"Tucanes, Los","La Chona"
"Tucanes, Los","Las Heladas"
"Tucanes, Los","Me Gusta Vivir De Noche"
"Tucanes, Los","Mundo De Amor"
"Tucanes, Los","Narco Juniors"
"Tucanes, Los","Secuestra De Amor"
"Tush","Me doy cuenta"
"Twain, Shania","From This Moment"
"Twain, Shania","Man! I Feel Like A Woman!"
"Tynan, Ronan","Too-ra-loo-ra-loo-ral"
"Tyrese feat. Candace","Angel"
"Tyrese feat. Candace","Angel (MPX)"
"Ubago, Alex","Por Esta Ciudad"
"Ubago, Alex","Siempre En Mi Mente"
"Ubago, Alex","Sin Miedo A Nada"
"Ubago, Alex","Viajar Contigo"
"Uff","Arrivederchi"
"Uff","Dejame"
"Un Velero llamado","Jose Luis Perales"
"Únicos De México","Cuando Abras Los Ojos"
"Unicos De Mexico, Los","Cuando Abras Los Ojos"
"Union, La","Lobo-hombre En Paris"
"V.I.C.","Twerk It"
"V.I.C.","Twerk It (MPX)"
"Vagon Chicano","La Despedida"
"Vagon Chicano","Mi Amuleto Eres Tu"
"Vagon Chicano","No Me Arrepiento"
"Valbuena, Los","Con Quien Andaras"
"Valbuena, Los","Con Quien Andaras (-1)"
"Valdez, Chayito","Al Ver Que Te Vas"
"Valdez, Chayito","Ambicion"
"Valdez, Chayito","Besos Y Copas"
"Valdez, Chayito","Besos Y Copas"
"Valdez, Chayito","Caballo Prieto Afamado"
"Valdez, Chayito","Carino"
"Valdez, Chayito","Celos De Ti"
"Valdez, Chayito","Celosa"
"Valdez, Chayito","Cheque Al Portador"
"Valdez, Chayito","Como Una Palomita"
"Valdez, Chayito","Desesperanza"
"Valdez, Chayito","Dos Hojas Sin Rumbo"
"Valdez, Chayito","Dos Hojas Sin Rumbo"
"Valdez, Chayito","El Moro De Cumpas"
"Valdez, Chayito","Espejito"
"Valdez, Chayito","Gaviota Aventureta"
"Valdez, Chayito","La Silla Vacia"
"Valdez, Chayito","La Sopa Del Bebe"
"Valdez, Chayito","Mi Soldadita"
"Valdez, Chayito","Necesito Verte"
"Valdez, Chayito","Necesito Verte"
"Valdez, Chayito","No Me Pregunten Por El"
"Valdez, Chayito","Quisiera Tener Alas"
"Valdez, Chayito","Se Marcho"
"Valdez, Chayito","Seis Pies Abajo"
"Valdez, Chayito","Son Habladas"
"Valdez, Chayito","Triste Recuerdo"
"Valdez, Chayito","Una Noche Me Embriague"
"Valdez, Chayito","Una Sombra"
"Valdez, Chayito","Y Por Esa Calle Vive"
"Valdez, Chayito & Dora Maria","Lena De Pirul"
"Valentin Elizade","La Pecosita"
"Valentin elizalde","a mis enemigos"
"Valentin elizalde","como te duele"
"Valentin elizalde","el venadito"
"Valentin elizalde","la gallinita ponedora"
"Valentin elizalde","La Mas Deseada"
"Valentin elizalde","la papa"
"Valentin elizalde","nada"
"Valentin elizalde","oh mi niña"
"Valentin elizalde","soy asi"
"Valentin elizalde","Te Quiero Asi"
"Valentin Elizalde","Vencedor"
"Valentin Elizalde","Vencedor"
"Valentin elizalde","Vete Ya"
"Valentin Elizalde","Y se parece a ti"
"Valentin Elizalde","Y se parece a ti"
"Valentin elizalde","Y se parece a ti"
"Vallenatos De La Cumbia, Los","Sal Y Agua"
"Vallenatos De La Cumbia, Los","Sal Y Agua (-1)"
"Vannett, Connie","Pussycat Song, The"
"Vargas, Sergio","La Ventanita"
"Varios","Popuri Infantil"
"Varios Trios","Crei"
"Varios Trios","Diez Lagrimas"
"Varios Trios","Toda Una Vida"
"Vashawn Mitchell","Turning Around For Me"
"Vashawn Mitchell","Turning Around For Me (MPX)"
"Vayven","Al Ritmo De La Lluvia"
"Vazquez, Alberto Y Joan Sebastian","Maracas"
"Vega, Sergio","Cosas Del Amor"
"Vega, Sergio","Dueno De Ti"
"Vega, Sergio","Gracias, Amor"
"Vega, Sergio","La Ladrona"
"Vega, Sergio","Me Gusta Estar Contigo"
"Vega, Sergio","Muchachita De Ojos Tristes"
"Vela, Ruben","El Coco Rayado"
"Velvet Underground","Femme Fatale"
"Velvet Underground","I'm Sticking With You"
"Venegas, Julieta","Algo Esta Cambiando"
"Venegas, Julieta","Andar Conmigo"
"Venegas, Julieta","Eres Para Mi"
"Venegas, Julieta","Limon Y Sal"
"Venegas, Julieta & Jarabe De Palo","El Liston De Tu Pelo"
"Veni Vidi Vici","Viviendo De Noche"
"Verdaguer, Diego Y Amanda Miguel","Simplemente Amor"
"Verdes, Enanitos","Tu Carcel"
"Vicci Martinez and Cee Lo Green","Come Along"
"Vicci Martinez and Cee Lo Green","Come Along (MPX)"
"Vicente Fernandez","Con la misma tijera"
"Vicente Fernandez","El hijo del pueblo"
"Vicente Fernandez","El tahur"
"Vicente Fernandez","La ley de la vida"
"Vicente Fernandez","La ruleta"
"Vicente Fernandez","Las botas de charro"
"Vicente Fernandez","Me voy a quitar de enmedio"
"Vicente Fernandez","Palabra de rey"
"Vicente Fernandez","Por tu maldito amor"
"Vicente Fernandez","Que de raro tiene"
"Vicente Fernandez","Que sepan todos"
"Vicente Fernandez","Se vende un caballo"
"Vicente Fernandez","Yo quiero saber de ti"
"Vick Allen","Soul Music"
"Vick Allen","Soul Music (MPX)"
"Vickos, Los","Que sera"
"Victor Garcia","Maldita luna"
"Viento Y Sol","Par De Anillos"
"Villa, Lucha","Amaneci En Tus Brazos"
"Villa, Lucha","Amemonos"
"Villa, Lucha","Declarate Inocente"
"Villa, Lucha","Ingratos Ojos Míos"
"Villa, Lucha","Inocente Pobre Amiga"
"Villa, Lucha","Juro Que Nunca Volvere"
"Villa, Lucha","No Discutamos"
"Villa, Lucha","No Me Amenaces"
"Villa, Lucha","Qué Bonito Amor"
"Villa, Lucha","Que Me Lleve El Diablo"
"Villa, Lucha","Que Se Me Acabe La Vida"
"Villa, Lucha","Resulta"
"Villa, Lucha","Si Nos Dejan"
"Villa, Lucha","Sufro Porque Te Quieto"
"Villa, Lucha","Yo Me Muero Donde Quiera"
"Villareal, Alicia","Te Quedó Grande La Yegua"
"Villareal, Alicia Y Caballo Dorado","Esto Que Siento"
"Villarreal, Alicia","Acompaname"
"Villarreal, Alicia","Besos Y Copas"
"Villarreal, Alicia","Celosa"
"Villarreal, Alicia","Insensible A Ti"
"Villarreal, Alicia","La Que Baje La Guardia"
"Villarreal, Alicia","Las Cuentas Claras"
"Villarreal, Alicia","No, Oh, Oh (La Suegra)"
"Villarreal, Alicia","Soy Asi"
"Villarreal, Alicia","Soy Lo Prohibido"
"Villarreal, Alicia","Soy Lo Prohibido"
"Villarreal, Alicia","Te Quedo Grande La Yegua"
"Villarreal, Alicia Con Cabilo Dorado","Esto Que Siento"
"Villarreal, Alicia Y Christian Castro","Pasion"
